read_id	filename	runid	sample_name	read_length	mean_quality	channel	read_number	start_time
00068f7a-51b3-4933-8fc6-7d6e29181ff9	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	291	10.71	125	52133	2021-02-05T23:07:15Z
001ed67f-906f-4f37-9770-85d40f5ffee6	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	271	18.11	278	52823	2021-02-05T23:09:42Z
0043238c-3a78-48f1-a8ec-d492280da6e4	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	306	12.25	166	81191	2021-02-05T23:05:57Z
004a65aa-6700-4ad7-9550-dc59f8708908	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	231	11.97	4	50728	2021-02-05T23:08:01Z
00c6481f-9022-4173-9b74-f375c34b9a9b	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	582	10.91	267	29079	2021-02-05T23:06:16Z
00da3999-12fd-449d-bd07-32a879667a3d	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	272	12.33	125	54754	2021-02-05T23:28:41Z
018c4b52-48fa-4cc8-a7b4-500f41420279	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	385	12.81	117	56417	2021-02-05T23:15:48Z
01faaaa1-eca2-4bcd-8666-b4d69497107e	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	962	14.08	60	49210	2021-02-05T23:04:44Z
02085a68-dc6e-4275-bd1e-f112fed3bd83	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	270	8.72	454	54935	2021-02-05T23:19:07Z
022647b9-0e16-4318-a794-c5749705b67d	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	293	13.95	327	55532	2021-02-05T23:08:48Z
022fc908-aa6e-4d29-a5ad-6a30a9da7e3b	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	251	14.11	17	50933	2021-02-05T23:05:39Z
02445dc2-39ee-49f1-8a42-51ebfea52c33	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	599	13.96	508	53426	2021-02-05T23:32:02Z
031ff99b-b11f-40dc-9258-273ec97683f8	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	256	10.7	63	58382	2021-02-05T23:00:31Z
03e0e732-cb7a-4084-8fc9-303180c83786	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	562	15.39	232	53194	2021-02-05T23:18:30Z
0457184e-6e09-4883-baf3-824d11101c43	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	493	15.3	350	55400	2021-02-05T23:21:22Z
045f1e6a-9b5d-4840-bad9-c4b738b61267	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	344	13.18	1	48429	2021-02-05T23:28:22Z
046258fa-b951-43a1-bbed-66cdbeac8e71	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	300	12.83	233	42911	2021-02-05T23:30:09Z
048d5d3a-16ed-4f36-aeb9-3311dd9dc593	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	359	11.9	343	47600	2021-02-05T23:01:07Z
04a0ee1e-0406-4394-87ba-a67344318a5d	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	440	12.02	431	59441	2021-02-05T23:22:13Z
04c07133-cd56-48b9-9f16-86e12cacaf92	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	365	14.47	360	56251	2021-02-05T23:10:49Z
052036a3-6af0-4650-9f96-e97e34c52bbc	test.fastq.gz	97ca62ca093ff43533aa34c38a10b1d6325e7e7b	test-sample-1	300	14.76	17	53208	2021-02-05T23:27:18Z
